Bof_20200828
ISFICTIVE	PARTY_TYPE	PARTYID_FE	REF_DATE	NDG_CODE
		BGCLOLAK018	2020-08-28	
		CAHMIBRK014	2020-08-28	
		CAHMIBRK002	2020-08-28	
		IDE_LONG_TERM#7002360376	2020-08-28	201951
		IDE_RISK_ARB#7002360376	2020-08-28	201951
		IDE_LONG_ONLY#7002360376	2020-08-28	201951
		0_SOCGENBRK#2110570000	2020-08-28	203420
		0_MEDIOBANCABRK#2123580000	2020-08-28	201576
		AURELBGC#1305900000	2020-08-28	209536
		SOCIETEGENERALEPARIS#1217020000	2020-08-28	203420
		IDE_DM2#7002360391	2020-08-28	201951
		BGC FINANCIALL.P.NY#2106670000	2020-08-28	971529
		IT1772	2020-08-28	
		BGCLOLAK007	2020-08-28	
		CAHMIBRK004	2020-08-28	
		IDE_BT#7002360376	2020-08-28	201951
		FIDEURAM#2053630000	2020-08-28	911424
		KYBLOLAB001	2020-08-28	
		0074	2020-08-28	
		0021	2020-08-28	
		0415	2020-08-28	
		MERRILLLYNCHINTL#2053700000	2020-08-28	901919
		FCRCUNEO_FONDACO#1314360000	2020-08-28	304446
		EQUITASIM#0160400135	2020-08-28	206522
		GOLDMANSACHSLONDRA#0221250135	2020-08-28	61572
		BNPARBTRGPARIS#1308250000	2020-08-28	207566
		GFILOLON002	2020-08-28	
		BNAPATRD033	2020-08-28	
		0142	2020-08-28	
		IT2733	2020-08-28	
		0_NIBCBANKNVBRK#2127720000	2020-08-28	300428
		IDE_EQ_SSVOL#7002360391	2020-08-28	201951
		IDE_EQSSVOLOTC#7002360391	2020-08-28	201951
		0027	2020-08-28	
		IDE_ETF_DIR#7002360401	2020-08-28	201951
		MEDIOBANCA#0106310135	2020-08-28	201576
		KYBLOAMS001	2020-08-28	
		JPMORGANSEC#0999799001	2020-08-28	61567
		VCMLOJOK001	2020-08-28	
		IT2281	2020-08-28	
		SUSQUEHANNA#2010720002	2020-08-28	900577
		IT3972	2020-08-28	
		IDE_RELATIVE09#7002360376	2020-08-28	201951
		IDE_SPMIB#7002360376	2020-08-28	201951
		IT1107	2020-08-28	
		BVMMUME5044	2020-08-28	
		IDE_TECNICO#7002360376	2020-08-28	201951
		IDE_QUANTO#7002360376	2020-08-28	201951
		IDE_EQ_SHORT_TERM#7002360376	2020-08-28	201951
		EPSILON_D100_AGIU27#1304843279	2020-08-28	793685121
		IDE_AA#7002360391	2020-08-28	201951
		IDE_VOL_STCK_AA_SEC#7002360391	2020-08-28	201951
		IDE_VOL_STCK_IDX_SEC#7002360391	2020-08-28	201951
		0347	2020-08-28	
		CREDITSUISSELND#2037160000	2020-08-28	905042
		CATLOCAL048	2020-08-28	
		CANTORFGEU#1037550000	2020-08-28	37600
		IT4197	2020-08-28	
		SBLLOTHU001	2020-08-28	
		0007	2020-08-28	
		IDE_STRATEGIC#7002360376	2020-08-28	201951
		0_MSINTLBRK#2123660000	2020-08-28	718491009
		JPDFRFOT069	2020-08-28	
		0079	2020-08-28	
		SALES_BLOCKDEAL#2004800003	2020-08-28	201951
		0_NOMURAINTBRK#2017850003	2020-08-28	13346
		IT4176	2020-08-28	
		IDE_TEAM_STRAT#7002360376	2020-08-28	201951
		JPDFRFOT017	2020-08-28	
		0008	2020-08-28	
		JPDFRFOT001	2020-08-28	
		SOC GEN SECURITIES#0391570000	2020-08-28	220040
		IDE_TED-EQUITY-2#7002360390	2020-08-28	201951
		IDE_EQ-INDEXVOL2#7002360391	2020-08-28	201951
		IDK_EQ-INTRADAY#7002360391	2020-08-28	201951
		EXANE PARIS#1217640000	2020-08-28	58496
		VANTAGE#2094060000	2020-08-28	910757
		0_BOFAMLBRK#2072480002	2020-08-28	802545
		MGILOMSC042	2020-08-28	
		FCRMODENA_GP_ENI_FON#2068320004	2020-08-28	945989
		MORGANSTANLEY&CO#0855559015	2020-08-28	59008
		GFILOLON009	2020-08-28	
		0043	2020-08-28	
		CENTROATTIVO#2054370013	2020-08-28	58720
		FONDO_VIVAPIU#1063290003	2020-08-28	58720
		ISV_FONDO_CRESC_TEMPO#106329001	2020-08-28	
		TRENDIFON_INTESA_VITA#106329002	2020-08-28	
		FONDO_VIVADUE#2054370002	2020-08-28	58720
		FONDO_BASE_SICURA#2054370022	2020-08-28	58720
		ISV_FONDO_CRESC_TEMP#1063290017	2020-08-28	58720
		TRENDIFON_INTESA_VIT#1063290028	2020-08-28	58720
		IDK_VOL_FVO_PRIM_MX#7002360391	2020-08-28	201951
		IT3767	2020-08-28	
		KYBLOJAH001	2020-08-28	
		UBS_ZURICH#1058230003	2020-08-28	301508
		IDK_TEDEQUITY#7002360390	2020-08-28	201951
		BOFASECSA#2124100000	2020-08-28	5013459624
		CITIGROUP G.M. LTD #0855409001	2020-08-28	203778
		FCRMODENA_GP_BPE_FON#2068320003	2020-08-28	945989
		IDE_GMT_LONDON#7002360391	2020-08-28	201951
		IDE_EQ_MNGT#7002360391	2020-08-28	201951
		IDE_VOL_STOCK_IDX_PR#7002360391	2020-08-28	201951
		IDE_VOL_STOCK_SS_PR#7002360391	2020-08-28	201951
		IDE_VOL_STCK_AA_PR#7002360391	2020-08-28	201951
		SBVZHTL1055	2020-08-28	
		SOGCXITA001	2020-08-28	
		BGCBKR#2095840000	2020-08-28	900572
		SOGFROPT193	2020-08-28	
		GSIEBEDG022	2020-08-28	
		IDE_SCALPING#7002360391	2020-08-28	201951
		0	2020-08-28	
		LSWSTTMM005	2020-08-28	
		LANDBKBADENWUT#0360620000	2020-08-28	57395
		IT1105	2020-08-28	
		JPMORGANLONDON#1250090000	2020-08-28	61567
		IDK_CIB_BTB_EQD_1#7002360391	2020-08-28	201951
		IDK_EQ10-EQLINKED#7002360391	2020-08-28	201951
		IDK_TEDEQUITY#7002360391	2020-08-28	201951
		IDK_WEQHEDGE_FTT#7002360391	2020-08-28	201951
		IDK_EQ10-STRUCTPROD#7002360391	2020-08-28	201951
		IDK_EQ-10-6B-SHARES#7002360391	2020-08-28	201951
		EPSILON_D100_ALUG27#2064550197	2020-08-28	793811566
		IDK_PARTECIPAZIONI#7002360072	2020-08-28	201951
		ISPTORINOBTB#2051860003	2020-08-28	200652
		FCRMODENA_FONDACO#2068320002	2020-08-28	945989
		IDK_EQ10-EQLINKED#7002360469	2020-08-28	
		IDK_EQ10-STRUCTPROD#7002360469	2020-08-28	
		VALBRUNA#1028310000	2020-08-28	949772
		IDK_EQ_OPT_BOND#1000000950	2020-08-28	201951
		UNIPOLSAIAS#2068780000	2020-08-28	303234
		CARIMONTE_HOLDING#1308850000	2020-08-28	303178
		EPSILON_D100_ARMAR26#1304843257	2020-08-28	718495196
		FCRFIRENZE#2060930000	2020-08-28	802883
		BANCAIFIS#0032050000	2020-08-28	303294
		JPMORGAN#1208513006	2020-08-28	61567
		SOCGEN-PAR#0935939997	2020-08-28	203420
		BCAALBERTINI#1252553007	2020-08-28	303941
		EPSILON_D100_ARFEB26#2064550194	2020-08-28	718333876
		IDK_EQ10-EQLINKED#7002360390	2020-08-28	201951
		IDK_EQ10-STRUCTPROD#7002360390	2020-08-28	201951
		IDK_EQ-10-6B-SHARES#7002360390	2020-08-28	201951
		FERAK#2071670000	2020-08-28	952795
		FONDCRBOLO#2052320000	2020-08-28	908422
		IDE_CSA-FTT#7002360391	2020-08-28	201951
		SOCIETEGENERALEPARIS#7002880001	2020-08-28	203420
		FONDCARITORINO#2001200002	2020-08-28	800361
		IDK_MT_CALL_PROB#7002360077	2020-08-28	201951
		BCAAKROS#0030450135	2020-08-28	205998
		EUXFR	2020-08-28	
		1       	2020-08-28	
		ETCPAETCE43	2020-08-28	
		IT7504	2020-08-28	
		VCMLOHAT001	2020-08-28	
		IT2599	2020-08-28	
		IT1885	2020-08-28	
		CROSSBORDER	2020-08-28	
		IT4690	2020-08-28	
		0094	2020-08-28	
		IT2470	2020-08-28	
		IT1008	2020-08-28	
		IT0315	2020-08-28	
		IT1505	2020-08-28	
		IT2814	2020-08-28	
		IT2187	2020-08-28	
		IT0560	2020-08-28	
		IT0362	2020-08-28	
		IT3357	2020-08-28	
		IT2322	2020-08-28	
		IT2883	2020-08-28	
		IT1994	2020-08-28	
		VECXTTCP001	2020-08-28	
		0064	2020-08-28	
		VCMLOHUG001	2020-08-28	
		JVCZHTR0145	2020-08-28	
		CCEGITRRXXX	2020-08-28	
		LCHLGB2E	2020-08-28	
		0138	2020-08-28	
		1	2020-08-28	
		0034	2020-08-28	
		VCMLOSMT001	2020-08-28	
		IT0302	2020-08-28	
		IT0403	2020-08-28	
		IT0547	2020-08-28	
		IDE_VOLTRADING#7002360376	2020-08-28	201951
		IDE_SYST_VOL#7002360376	2020-08-28	201951
		IDE_VOLA_STRAT#7002360376	2020-08-28	201951
		ABNAMROCLEAR#2044120002	2020-08-28	908065
		0_WEDBUSHSECINC#2124130000	2020-08-28	908580
		0_FIDENTIISEQUITIES#2118500000	2020-08-28	985461
		0_JPMBRK#2099100000	2020-08-28	964148
		0_MAINFIRSTBANKAGBRK#2109740000	2020-08-28	224769
		0_EQUITASIMSPABRK#2109830000	2020-08-28	206522
		0_INTERMONTESIMBRK#2109700000	2020-08-28	948991
